id,end_station,dest_y,dest_x,count
444,Norfolk St & Broome St,40.7172274,-73.98802084,143
445,Norman Ave & Leonard St,40.7258483,-73.95064893,22
446,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,22
447,Old Fulton St,40.70277159,-73.99383605,93
448,Old Slip & Front St,40.7037992,-74.00838676,20
449,Pacific St & Nevins St,40.6853761,-73.98302136,5
450,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,18
451,Park Ave & St Edwards St,40.69608941,-73.97803415,7
452,Paulus Hook,40.7141454,-74.0335519,0
453,Pearl St & Anchorage Pl,40.70281858,-73.98765762,21
454,Pearl St & Hanover Square,40.7047177,-74.00926027,40
455,Peck Slip & Front St,40.707873,-74.00167,82
456,Penn Station Valet,40.7512836,-73.99692446,0
457,Perry St & Bleecker St,40.73535398,-74.00483091,65
458,Pershing Square North,40.751873,-73.977706,170
459,Pershing Square South,40.751581,-73.97791,40
460,Pier 40 - Hudson River Park,40.72771408,-74.01129574,86
461,Pike St & E Broadway,40.71406667,-73.99293911,72
462,Pike St & Monroe St,40.71173107,-73.99193043,30
463,Pioneer St & Richards St,40.6777748,-74.0094613,4
464,Pioneer St & Van Brunt St,40.679043,-74.011169,13
465,Pitt St & Stanton St,40.71926081,-73.98178024,4
466,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,22
467,President St & Henry St,40.6828003,-73.99990419,12
468,Prospect Park West & 8 St,40.66514682,-73.97637606,10
469,Prospect Pl & 6 Ave,40.6793307,-73.97519523,14
470,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,7
471,Putnam Ave & Nostrand Ave,40.68402,-73.94977,16
472,Putnam Ave & Throop Ave,40.6851532,-73.94111,7
473,Queens Plaza North & Crescent St,40.75110165,-73.94073717,61
